DATE,POILWTIUSDQ
1990-01-01,21.7491007905138
1990-04-01,17.8889510006901
1990-07-01,26.4480263504611
1990-10-01,31.9527915804003
1991-01-01,21.8314389233954
1991-04-01,20.7583754940711
1991-07-01,21.66132348328
1991-10-01,21.7096251333208
1992-01-01,18.9367582345191
1992-04-01,21.2163492063492
1992-07-01,21.6737938390112
1992-10-01,20.5035353535354
1993-01-01,19.8377829537612
1993-04-01,19.7969336219336
1993-07-01,17.8043939393939
1993-10-01,16.4570716481586
1994-01-01,14.8104530710835
1994-04-01,17.7313564213564
1994-07-01,18.4808394504047
1994-10-01,17.6491774891775
1995-01-01,18.3527812911726
1995-04-01,19.2912806324111
1995-07-01,17.8556452726018
1995-10-01,18.1562987012987
1996-01-01,19.7714009661836
1996-04-01,21.7459249011858
1996-07-01,22.3822859025033
1996-10-01,24.7079666227492
1997-01-01,22.7958668046929
1997-04-01,19.9085714285714
1997-07-01,19.7783559194429
1997-10-01,19.8811594202899
1998-01-01,15.9427575757576
1998-04-01,14.5864718614719
1998-07-01,14.1305307735743
1998-10-01,12.8117199949809
1999-01-01,13.0335279503106
1999-04-01,17.6477777777778
1999-07-01,21.7030303030303
1999-10-01,24.5699676893155
2000-01-01,28.8262801932367
2000-04-01,28.8305230566535
2000-07-01,31.6875017253278
2000-10-01,32.0060317460318
2001-01-01,28.769012516469
2001-04-01,27.8883988957902
2001-07-01,26.7049117259552
2001-10-01,20.3707149131062
2002-01-01,21.630328847481
2002-04-01,26.2637588932806
2002-07-01,28.3147402597403
2002-10-01,28.2424371039588
2003-01-01,34.0152622498275
2003-04-01,29.1020418470418
2003-07-01,30.2635532342054
2003-10-01,31.1659057971014
2004-01-01,35.209744400527
2004-04-01,38.3444372294372
2004-07-01,43.8272727272727
2004-10-01,48.3261820063994
2005-01-01,49.6918160800552
2005-04-01,53.0881313131313
2005-07-01,63.1105674760022
2005-10-01,60.0160678210678
2006-01-01,63.2254308300395
2006-04-01,70.5301192358366
2006-07-01,70.50972394755
2006-10-01,60.0652813852814
2007-01-01,58.2045303030303
2007-04-01,64.9889371980676
2007-07-01,75.3571791831357
2007-10-01,90.8225490934187
2008-01-01,97.9492822636301
2008-04-01,123.978607503608
2008-07-01,118.366346696781
2008-10-01,57.9654202898551
2009-01-01,42.8964696969697
2009-04-01,59.6117748917749
2009-07-01,68.2235695463956
2009-10-01,76.1405564966434
2010-01-01,78.656248447205
2010-04-01,77.8963997113997
2010-07-01,76.0230303030303
2010-10-01,85.1393246125855
2011-01-01,93.9578205659075
2011-04-01,102.578448773449
2011-07-01,89.686874960788
2011-10-01,94.0292712842713
2012-01-01,102.862229437229
2012-04-01,93.4203243616287
2012-07-01,92.2472839262187
2012-10-01,88.1934293242989
2013-01-01,94.412704278813
2013-04-01,94.2013945981555
2013-07-01,105.752404793274
2013-10-01,97.4327878160487
2014-01-01,98.7453795721187
2014-04-01,103.135375180375
2014-07-01,97.5124073028421
2014-10-01,73.084384057971
2015-01-01,48.7321818181818
2015-04-01,57.8652813852814
2015-07-01,46.5405175983437
2015-10-01,42.0833204717987
2016-01-01,33.3545479641132
2016-04-01,45.5551803751804
2016-07-01,44.9493098688751
2016-10-01,49.1110533910534
2017-01-01,51.7916205533597
2017-04-01,48.3063399209486
2017-07-01,48.1218150448585
2017-10-01,55.4106132756133
2018-01-01,62.8807457180501
2018-04-01,68.0295652173913
2018-07-01,69.7308122529644
2018-10-01,58.6200909718301
2019-01-01,54.797955831608
2019-04-01,59.7588181818182
2019-07-01,56.3555138339921
2019-10-01,56.8354052951879
2020-01-01,45.8818036890646
2020-04-01,28.023658008658
2020-07-01,40.8947838634795
2020-10-01,42.6214941338854
2021-01-01,57.7559789510007
2021-04-01,65.9853174603175
2021-07-01,70.6663636363636
2021-10-01,77.4206380575946
2022-01-01,94.4282498274672
2022-04-01,108.791291486291
2022-07-01,93.3369013112492
2022-10-01,82.6482828282828
2023-01-01,76.2090415019763
2023-04-01,73.7022654808959
2023-07-01,82.1267425810904
